阶段,模块,任务,优先级,状态,交付物,验收标准,备注
阶段一,产品定义,明确 iPhone + Watch companion 首发范围,P0,已完成,Scope v1,明确 iPhone 做什么 Watch 做什么 1.0 不做什么,已确认
阶段一,产品定义,明确训练主会话归属为 Apple Watch,P0,已完成,架构结论,Watch 为训练主状态源,已确认
阶段一,产品定义,明确 HealthKit 策略,P0,已完成,权限与数据流说明,1.0 写入 workout 并补齐申请权限 写入策略 拒权降级说明,已确认
阶段一,产品定义,明确首发 KPI,P1,已完成,指标清单,首发 KPI 为下载量达到 100,已确认
阶段一,产品定义,明确首发地区 语言 定价策略,P1,已完成,发布策略说明,中国区 中文 免费,已确认
阶段二,工程与架构设计,创建 iOS App + Watch App + Watch Extension 工程,P0,已完成,可编译工程,已生成 SquatCounter.xcodeproj 且 build 通过,已确认
阶段二,工程与架构设计,建立共享代码层,P0,已完成,Shared 模块或共享 group,训练配置 训练结果 同步 payload 等模型已集中在 Shared,已确认
阶段二,工程与架构设计,设计通信机制,P0,已完成,通信设计说明,已通过 ARCHITECTURE.md 和同步接口明确哪些数据走 WatchConnectivity,已确认
阶段二,工程与架构设计,明确本地持久化边界,P0,已完成,存储设计说明,当前阶段已明确使用 UserDefaults 持久化配置,已确认
阶段二,工程与架构设计,建立环境配置,P1,已完成,Debug Beta Release 方案,已通过 Configs/*.xcconfig 和 project.yml 落地三套构建配置,已确认
阶段三,Watch 核心训练,实现 WorkoutConfig WorkoutProgress WorkoutState PauseContext,P0,已完成,核心模型代码,共享模型已落地 可表达当前训练会话和暂停上下文,已确认
阶段三,Watch 核心训练,实现 SquatMotionState SquatDetectionEvent,P0,已完成,识别事件模型,识别状态与事件模型已落地 可供后续检测模块接入,已确认
阶段三,Watch 核心训练,实现 WorkoutSessionViewModel,P0,未开始,会话状态管理代码,能驱动完整状态流转,
阶段三,Watch 核心训练,实现设置页,P0,未开始,WorkoutConfigView,可设置 reps sets rest,
阶段三,Watch 核心训练,实现训练页,P0,未开始,WorkoutSessionView,展示组数 次数 状态 控制按钮,
阶段三,Watch 核心训练,实现休息页,P0,未开始,RestView,展示休息倒计时和控制入口,
阶段三,Watch 核心训练,实现完成页,P0,未开始,WorkoutCompleteView,展示训练完成结果,
阶段三,Watch 核心训练,实现手动 +1 / -1 修正,P0,未开始,修正逻辑,不可越界 达到目标后触发组完成,
阶段三,Watch 核心训练,实现暂停 / 恢复,P0,未开始,状态恢复逻辑,可回到正确 resumeTarget,
阶段三,Watch 核心训练,实现结束训练确认,P0,未开始,结束训练交互,当前进度被丢弃并回首页,
阶段四,训练控制能力,实现 TimerManager,P0,未开始,计时管理代码,支持开始倒计时 休息倒计时 节奏提示,
阶段四,训练控制能力,接入 3 秒训练前倒计时,P0,未开始,倒计时逻辑,倒计时结束自动进入训练,
阶段四,训练控制能力,接入组间休息倒计时,P0,未开始,休息逻辑,休息结束自动进入下一组,
阶段四,训练控制能力,实现 提前开始下一组,P0,未开始,快捷控制逻辑,可跳过剩余休息时间,
阶段四,训练控制能力,实现 HapticManager,P0,未开始,震动封装,支持不同事件反馈,
阶段四,训练控制能力,实现节奏提示与计数震动冲突处理,P1,未开始,反馈优先级逻辑,单次计数反馈优先于节奏提示,
阶段五,动作识别,定义 SquatDetectionManager 接口,P0,未开始,协议与事件流,只输出事件 不直接改 UI,
阶段五,动作识别,实现模拟识别模式,P0,未开始,调试模式,无真实传感器时可联调整体流程,
阶段五,动作识别,实现简化识别状态机,P1,未开始,MVP 识别逻辑,正常深蹲能计数,
阶段五,动作识别,增加 cooldown 机制,P1,未开始,去重逻辑,单动作不会重复计数,
阶段五,动作识别,增加内部阈值配置,P1,未开始,可调参数结构,可进行真机调参,
阶段五,动作识别,做真机识别调优,P1,未开始,调优记录,半蹲 抬腕 晃动尽量不计数,
阶段六,iPhone Companion,实现首次启动引导页,P0,未开始,iPhone onboarding,用户可理解手表端训练路径与权限原因,
阶段六,iPhone Companion,实现参数配置页,P0,未开始,配置 UI,默认参数可同步到 Watch,
阶段六,iPhone Companion,实现基础历史页,P1,未开始,训练记录列表,可看到最近训练摘要,1.0 是否纳入待确认
阶段六,iPhone Companion,实现帮助与支持页,P1,未开始,帮助中心,可访问 FAQ 支持链接 隐私政策,
阶段六,iPhone Companion,实现基础设置页,P1,未开始,设置 UI,可管理默认参数和基础开关,
阶段七,跨设备同步,定义同步数据模型,P0,未开始,SyncPayload 结构,覆盖默认配置 训练结果 最近状态摘要,
阶段七,跨设备同步,实现 iPhone -> Watch 配置同步,P0,未开始,同步逻辑,Watch 可接收并应用默认参数,
阶段七,跨设备同步,实现 Watch -> iPhone 训练结果同步,P0,未开始,回传逻辑,完成训练后 iPhone 可看到最新结果,
阶段七,跨设备同步,增加断连重试机制,P1,未开始,同步容错逻辑,断连后可重试 不破坏训练主流程,
阶段七,跨设备同步,明确冲突规则,P0,未开始,同步规则说明,Watch 始终是训练真源,
阶段八,HealthKit 与权限,配置 HealthKit capability,P0,未开始,target capability 配置,工程签名正确 能力开启成功,
阶段八,HealthKit 与权限,明确权限使用文案,P0,未开始,usage description 文案,文案与真实用途一致,
阶段八,HealthKit 与权限,实现授权申请流程,P0,未开始,权限代码与提示,首次使用可正确申请 拒权后不崩溃,
阶段八,HealthKit 与权限,实现 Workout Session 生命周期,P0,未开始,训练运行控制,训练进行中 App 可持续稳定工作,
阶段八,HealthKit 与权限,明确拒权降级方案,P0,未开始,降级处理说明,用户拒绝权限后仍有可预期行为,
阶段八,HealthKit 与权限,评估并实现训练写入 Health app,P1,未开始,workout 保存逻辑,若纳入 1.0 训练可正确写入,
阶段九,数据与隐私合规,盘点全量采集数据,P0,未开始,数据清单,明确每项数据用途和关联方式,
阶段九,数据与隐私合规,添加 PrivacyInfo.xcprivacy,P0,未开始,manifest 文件,归档产物通过隐私检查,
阶段九,数据与隐私合规,完成 App Privacy 配置,P0,未开始,App Store Connect 问卷,与实际采集行为一致,
阶段九,数据与隐私合规,准备隐私政策 URL,P0,未开始,可访问网页,可公开访问 内容完整,
阶段九,数据与隐私合规,准备支持页面 URL,P0,未开始,可访问网页,提供反馈和支持入口,
阶段九,数据与隐私合规,盘点第三方 SDK 隐私要求,P1,未开始,SDK 合规清单,所有第三方依赖均已核查,
阶段十,测试与质量门禁,为 WorkoutSessionViewModel 编写单元测试,P0,未开始,测试代码,覆盖开始 取消 暂停 恢复 组完成 结束训练,
阶段十,测试与质量门禁,为 TimerManager 编写测试,P0,未开始,测试代码,倒计时和休息计时逻辑可验证,
阶段十,测试与质量门禁,为识别状态机编写测试,P1,未开始,测试代码,cooldown 闭环状态 阈值逻辑可验证,
阶段十,测试与质量门禁,建立真机测试矩阵,P0,未开始,测试计划,覆盖佩戴 节奏 暂停 断连 权限等场景,
阶段十,测试与质量门禁,建立性能观察项,P1,未开始,观察清单,至少包含电量 稳定性 发热 同步延迟,
阶段十,测试与质量门禁,建立发布门禁 checklist,P0,未开始,提审前检查清单,提审前必须逐项完成,
阶段十一,发布与 TestFlight,配置 Bundle ID 签名 证书 Provisioning,P0,未开始,可归档发布工程,iOS 和 Watch 均可成功 Archive,
阶段十一,发布与 TestFlight,建立 Debug Beta Release 构建配置,P1,已完成,环境配置方案,已落地 Configs/*.xcconfig 和三套 build configuration,已确认
阶段十一,发布与 TestFlight,建立 Beta 发布流程,P0,未开始,测试发布说明,每次 beta 可稳定发到 TestFlight,
阶段十一,发布与 TestFlight,组织内部测试,P0,未开始,测试反馈记录,至少完成一轮团队内部验证,
阶段十一,发布与 TestFlight,组织外部 TestFlight 测试,P1,未开始,外测反馈记录,至少完成一轮真实用户验证,
阶段十二,App Store 上架,准备 App 名称 副标题 描述 关键词,P0,未开始,元数据文案,可直接填入 App Store Connect,
阶段十二,App Store 上架,准备 iPhone 截图,P0,未开始,截图素材,展示 iPhone companion 核心价值,
阶段十二,App Store 上架,准备 Apple Watch 截图,P0,未开始,截图素材,展示 Watch 训练主流程,
阶段十二,App Store 上架,准备 App 图标,P0,未开始,图标素材,满足提审与展示要求,
阶段十二,App Store 上架,编写 App Review Notes,P0,未开始,审核说明,清楚解释 companion 结构 权限和使用方式,
阶段十二,App Store 上架,配置地区 分级 价格 发布日期,P1,未开始,发布配置,可完成最终提交,
阶段十三,上线后运营与迭代,监控崩溃 评分和用户反馈,P0,未开始,首发观察面板,首发后 48 小时内可识别高风险问题,
阶段十三,上线后运营与迭代,建立 1.0.1 修复计划,P0,未开始,修复 backlog,对高频 bug 有明确处理节奏,
阶段十三,上线后运营与迭代,规划 1.1 路线图,P1,未开始,版本规划文档,明确下一阶段功能方向,
阶段十三,上线后运营与迭代,建立需求池与优先级机制,P1,未开始,backlog 管理方式,新需求可持续进入评估流程,
